date,txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianFee,averageDifficulty,paymentCount
2014-05-24,1026,2653720.0,2.92,248028.0,0.002842246267,167516,1.2798e-06,130468591.315,117383,
2014-05-25,1486,3774890.0,4.04,283545.0,0.002369143303,162895,1.1727075e-06,145871208.534,102566,
2014-05-26,1985,3070190.0,3.22,220148.0,0.014979522317,273991,1e-06,140766538.174,203749,
2014-05-27,2084,2958060.0,3.03,97603.0,3.04746212718,246233,1.1720355e-06,164342431.021,149162,
2014-05-28,1341,2231880.0,2.24,177716.0,4.99131557173,117810,0.005151329006,209742783.114,70700,
2014-05-29,1862,2251030.0,2.21,109157.0,6.11866208503,112694,0.005000172716,210795340.141,65294,
2014-05-30,1396,1742630.0,1.68,119296.0,5.73523327804,96809,0.005068195348,162978948.527,59201,
2014-05-31,1071,1675440.0,1.58,117399.0,5.12380070104,103182,0.00546,185088636.47,54882,
2014-06-01,1150,2111850.0,1.94,130602.0,5.49229620917,102051,0.005473742726,261133131.137,62008,
2014-06-02,1493,1964820.0,1.76,47672.0,8.26006948906,95086,0.00564,226714411.824,63189,
2014-06-03,2084,1966370.0,1.73,91332.0,11.752766976,124655,0.00567,234513962.49,73704,
2014-06-04,2256,2238440.0,1.93,51886.0,13.0910605947,140202,0.0057211551095,228184448.288,89488,
2014-06-05,2582,2000103.33333,1.7,49319.6666667,14.3678023443,197591,0.00565,248133262.089,133997,
2014-06-06,3056,1761766.66667,1.47,46753.3333333,16.7579042011,251639,0.0056607176945,246171894.813,172909,
2014-06-07,2156,1523430.0,1.24,44187.0,12.4380620699,212294,0.005728560324,221904132.333,153474,
2014-06-08,2434,1702900.0,1.36,40634.0,13.6288046815,230961,0.0056775378445,228051232.656,168058,
2014-06-09,2661,1697580.0,1.33,56500.0,14.5268217814,284362,0.0057,215808429.351,202384,
2014-06-10,2927,1917820.0,1.48,182599.0,15.9074534792,291204,0.005668804446,238279836.089,189425,
2014-06-11,3051,2279840.0,1.72,85735.0,18.7265404235,228188,0.00578,284750265.384,151648,
2014-06-12,4588,2174900.0,1.62,108619.0,28.9363683172,342884,0.005808634478,275264767.224,238799,
2014-06-13,5478,2257650.0,1.65,84237.0,34.6814071043,415863,0.0058,309330885.825,290600,
2014-06-14,5432,2677530.0,1.93,276919.0,42.229096636,430558,0.0058287440395,350543883.739,256248,
2014-06-15,5401,3288170.0,2.32,150652.0,36.4432868527,440508,0.005809251016,398915299.589,281816,
2014-06-16,4876,3905660.0,2.72,438776.0,38.0330704794,368398,0.0058031672625,390814585.357,175806,
2014-06-17,4042,4601540.0,3.15,228445.0,27.7641348516,226198,0.00583,405606844.855,108719,
2014-06-18,3776,4304890.0,2.9,183102.0,78.4720280595,196332,0.00588,465032184.952,110220,
2014-06-19,4074,4188790.0,2.78,283962.0,29.0746418786,237057,0.00586,477430973.54,123300,
2014-06-20,2658,4844000.0,3.17,543764.0,17.7255789772,192028,0.005839641553,520939071.808,91139,
2014-06-21,3499,6730580.0,4.33,723077.0,23.5780405833,270325,0.005849368197,641327458.483,136443,
2014-06-22,2780,7853920.0,4.98,491984.0,18.6350149803,202286,0.005860018494,719963244.336,113783,
2014-06-23,3048,6851250.0,4.28,433301.0,21.5535874165,182344,0.0059010904805,773134891.318,52216,
2014-06-24,2742,6374590.0,3.93,150995.0,18.8722521046,148651,0.0058060070705,768620059.407,57409,
2014-06-25,2403,5313820.0,3.23,217183.0,16.5202398797,106860,0.005748858936,686916914.694,45120,
2014-06-26,2319,5471230.0,3.28,117740.0,15.8871040847,108559,0.005735541296,743510913.245,43555,
2014-06-27,2088,5044180.0,2.98,250643.0,14.4711031793,94736,0.00574069037,720773934.273,37615,
2014-06-28,1791,3997740.0,2.32,184970.0,12.5184184397,77570,0.005776685388,742852110.337,33942,
2014-06-29,1846,4434960.0,2.55,138511.0,12.9273213892,78138,0.005786850171,783624507.616,35013,
2014-06-30,1998,4484350.0,2.55,124575.0,13.9085087608,89291,0.0058214479635,765112535.933,35357,
2014-07-01,1901,4470350.0,2.51,98540.0,13.4070319597,76938,0.005824709226,838708786.346,34901,
2014-07-02,1774,4225600.0,2.34,101095.0,13.0075882067,74434,0.0059611356745,842806485.245,30015,
2014-07-03,1878,4217730.0,2.31,168532.0,13.4667565078,80783,0.0058639572135,818971509.964,27091,
2014-07-04,1788,4899760.0,2.64,148555.0,12.8828723349,73162,0.00589533176,845340848.788,32842,
2014-07-05,1618,4956910.0,2.64,68525.0,11.3624746243,66333,0.005826833024,876066657.904,33042,
2014-07-06,1678,4690900.0,2.47,77663.0,12.0309150718,72733,0.005879962593,926640219.173,33080,
2014-07-07,1915,4609840.0,2.4,111370.0,13.490081883,75250,0.005770336652,886561208.767,33036,
2014-07-08,1850,3851290.0,1.98,94993.0,13.4032729874,75523,0.005970153321,789119597.591,32126,
2014-07-09,1671,4518280.0,2.3,69554.0,12.2189901923,71088,0.005950043479,763382167.126,32517,
2014-07-10,1570,4033590.0,2.03,89099.0,11.978254204,66885,0.006759757022,768189204.65,29624,
2014-07-11,1760,3746700.0,1.86,116666.0,13.5578125046,73072,0.007,789385281.044,30201,
2014-07-12,1401,3648870.0,1.79,65375.0,10.5564899792,61977,0.006632915073,745362919.776,28447,
2014-07-13,1754,3562450.0,1.73,122049.0,43.4980759273,80564,0.0069338485255,686783840.528,29576,
2014-07-14,1538,3716450.0,1.79,100284.0,12.0332185528,62634,0.0070918651645,781050948.247,25446,
2014-07-15,1950,4096760.0,1.95,136205.0,14.1013223231,79138,0.005971368855,748982297.391,31004,
2014-07-16,2417,4585570.0,2.16,353430.0,17.6828179812,100734,0.00597,784395301.958,32773,
